Identifier,Mean_GFP_Intensity,Total_GFP_Intensity,Mean_GFP_Head,Total_GFP_Head,Mean_GFP_Tail,Total_GFP_Tail
C2_03_041,13163.798859023978,5166409302,21229.760279109007,3623622863,6956.22534887391,1542786439
C2_03_042,13657.920831427191,5344057605,22030.786792508305,3746445448,7221.694558456587,1597612157
C2_03_043,13983.389413719318,5495989425,22446.40820241674,3837752196,7467.4179354507505,1658237229
C2_03_044,14243.005549739284,5605078460,22918.177711144428,3898038256,7639.57539819286,1707040204
C2_03_045,14799.759278562016,5807173945,23620.345260185088,4048007530,7959.848940069229,1759166415
C2_03_046,15154.348824035254,5938852915,24025.93991538856,4123043497,8243.0755800493,1815809418
C2_03_047,15468.276461158528,6069395913,24526.150541264113,4214083186,8411.942160076533,1855312727
C2_03_048,15835.677567748624,6216944492,24998.32319497571,4306786115,8670.3995179476,1910158377
C2_03_049,16311.65829118856,6405490341,25787.88401730998,4439513173,8914.419526705027,1965977168
C2_03_050,16737.44722896971,6566552459,26360.06318654275,4552251112,9171.256224047498,2014301347
C2_03_051,17132.541106935863,6724950698,26981.881744229166,4656856934,9403.289929205712,2068093764
C2_03_052,17542.961505627885,6884226497,27582.742608111083,4759512568,9663.632691581728,2124713929
C2_03_053,17980.909435596892,7056607908,28253.104243034926,4878830800,9909.481896736088,2177777108
C2_03_054,18437.69736429284,7228296437,28870.26053810621,4987452989,10218.86334222587,2240843448
C2_03_055,18900.60605859822,7416616718,29627.267792255883,5120421438,10457.548423531127,2296195280
C2_03_056,19360.31382916346,7594237982,30293.484785972152,5227776963,10771.966566068999,2366461019
C2_03_057,19883.323400398305,7787502443,31046.276289484205,5357624853,11090.722987251873,2429877590
C2_03_058,20295.252924618904,7945672701,31592.106317759608,5452070932,11390.106149538431,2493601769
C2_03_059,20826.245121730277,8161618027,32426.49737559389,5603331173,11676.876416084715,2558286854
C2_03_060,21247.67101778379,8327599702,33015.92673507732,5710929927,11950.719440067594,2616669775
C2_03_061,21592.050090594254,8472914784,33404.76423825071,5811360025,12184.318690172633,2661554759
C3_03_001,3308.6340204922385,1215132239,5091.031526153809,848608772,1827.3727751353615,366523467
C3_03_002,3514.825392687044,1307697817,5485.056757111024,920600956,1895.5451683038382,387096861
C3_03_003,3837.006617989493,1408875927,6011.595788481275,1007471315,2011.1156804096336,401404612
C3_03_004,4219.191018106931,1538599731,6700.104069635182,1119198784,2122.2059304237823,419400947
C3_03_005,4566.177339860968,1665778023,7295.923843937518,1225598471,2236.4119822785838,440179552
C3_03_006,4892.375770978573,1814068474,7951.41132198179,1344901711,2326.5813542932237,469166763
C3_03_007,5386.940864633845,1966287285,8771.462163338041,1471737322,2507.567388184948,494549963
C3_03_008,5805.974237247628,2137794550,9582.635244564412,1615296910,2617.1860489578794,522497640
